장르,곡명,count,계절
댄스,Dynamite,12,봄
댄스,Ditto,9,봄
댄스,Hype Boy,9,봄
발라드,취중고백,12,봄
발라드,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",12,봄
발라드,다정히 내 이름을 부르면,12,봄
록/메탈,사건의 지평선,9,봄
록/메탈,무지개,7,봄
록/메탈,한 페이지가 될 수 있게,6,봄
랩/힙합,봄날,15,봄
랩/힙합,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",5,봄
랩/힙합,LOVE me,4,봄
"발라드, 국내드라마","모든 날, 모든 순간 (Every day, Every Moment)",15,봄
"발라드, 국내드라마",너의 모든 순간,12,봄
"발라드, 국내드라마",사랑은 늘 도망가,12,봄
댄스,Dynamite,12,여름
댄스,Hype Boy,10,여름
댄스,Ditto,9,여름
발라드,다정히 내 이름을 부르면,15,여름
발라드,다시 만날 수 있을까,12,여름
발라드,취중고백,12,여름
록/메탈,무지개,9,여름
록/메탈,Blueming,6,여름
록/메탈,TOMBOY,6,여름
랩/힙합,봄날,15,여름
랩/힙합,Small girl (feat. 도경수(D.O.)),6,여름
랩/힙합,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",5,여름
"발라드, 국내드라마","모든 날, 모든 순간 (Every day, Every Moment)",15,여름
"발라드, 국내드라마",너의 모든 순간,12,여름
"발라드, 국내드라마",사랑인가 봐,12,여름
댄스,Dynamite,15,가을
댄스,Attention,9,가을
댄스,Hype Boy,9,가을
발라드,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",15,가을
발라드,다정히 내 이름을 부르면,12,가을
발라드,다시 만날 수 있을까,9,가을
랩/힙합,봄날,15,가을
랩/힙합,OHAYO MY NIGHT,6,가을
랩/힙합,METEOR,6,가을
록/메탈,무지개,9,가을
록/메탈,사건의 지평선,8,가을
록/메탈,Blueming,7,가을
"발라드, 국내드라마","모든 날, 모든 순간 (Every day, Every Moment)",15,가을
"발라드, 국내드라마",사랑은 늘 도망가,11,가을
"발라드, 국내드라마",너의 모든 순간,9,가을
댄스,Dynamite,13,겨울
댄스,Butter,9,겨울
댄스,Ditto,7,겨울
발라드,다정히 내 이름을 부르면,10,겨울
발라드,눈이 오잖아(Feat.헤이즈),10,겨울
발라드,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",10,겨울
랩/힙합,봄날,13,겨울
랩/힙합,Life Goes On,6,겨울
랩/힙합,METEOR,4,겨울
POP,Snowman,11,겨울
POP,STAY,8,겨울
POP,Santa Tell Me,7,겨울
록/메탈,사건의 지평선,7,겨울
록/메탈,London Boy,7,겨울
록/메탈,무지개,7,겨울
